Feature,CASE Median,CTRL Median,p-value,Bonferroni P-Values
166Er_SIGLEC_10,1.71133448681166,1.91748364507213,7.166128011488005e-146,2.4364835239059218e-144
167Er_CD27,0.625036390562449,0.872312105000155,2.1150031865912244e-106,7.191010834410164e-105
171Yb_CD20,2.30201862317523,2.1127153859576,1.6570303827726817e-104,5.633903301427117e-103
172Yb_IgM,1.89368354439258,1.65402096726584,4.645695148611572e-93,1.5795363505279345e-91
142Nd_CD19,2.07288293852424,1.97862885259376,1.5288876893136653e-71,5.198218143666462e-70
89Y_CD45,5.26055524596963,5.19910856622682,9.447322157971055e-68,3.2120895337101584e-66
160Gd_CD200R,1.52434267216865,1.63971031719935,1.8963435667579344e-46,6.447568126976977e-45
155Gd_BAFFR,4.21469582435037,4.27033465929884,2.382845074550667e-39,8.101673253472267e-38
147Sm_CD11c,0.710236316847825,0.84482868400753,2.9290942231903897e-34,9.958920358847325e-33
168Er_OX40L,0.0,0.0179781720958833,7.445057873518315e-34,2.531319676996227e-32
150Nd_CD43,4.8966171737655,4.94536916163327,2.1795904828018324e-19,7.41060764152623e-18
162Dy_CD80,0.0,0.0326036235910942,1.9373813574362937e-18,6.587096615283399e-17
169Tm_CD24,0.269260565606521,0.317380776559477,8.272620703160771e-17,2.812691039074662e-15
175Lu_PD-1,0.158166112556245,0.188134799920035,8.684879453999797e-17,2.9528590143599307e-15
152Sm_CD95,1.03918081797315,1.10030953418612,9.620715269700146e-16,3.27104319169805e-14
170Er_CD3,0.747121957443821,0.819681183792272,6.3661328679973135e-15,2.1644851751190866e-13
144Nd_CD11b,0.683255584655918,0.736592741525802,5.115407471009779e-12,1.739238540143325e-10
149Sm_CD200,1.21162242389596,1.12254214391758,1.8432233513015643e-08,6.266959394425319e-07
151Eu_CD14,0.288950317693488,0.312272045404803,3.598648111378753e-08,1.2235403578687758e-06
158Gd_CD137L,0.0,0.0,8.350545215788595e-08,2.8391853733681223e-06
148Nd_PD-L1,0.848142684716499,0.894613309716752,1.8725425020193424e-07,6.366644506865764e-06
153Eu_TIM-3,0.0,0.0,8.411585783010996e-07,2.8599391662237387e-05
173Yb_CD137,0.00145940346992,0.0,3.0620229819503984e-06,0.00010410878138631355
156Gd_CD86,0.979806143754289,1.02413032291114,2.1475525737192713e-05,0.0007301678750645523
164Dy_GITRL,0.0,0.0,0.0005212518419950157,0.017722562627830535
163Dy_CD95L,0.0,0.0,0.0005617591950840442,0.019099812632857503
174Yb_HLA-DR,1.57393274564152,1.61860670914454,0.001225473799048235,0.04166610916763999
209Bi_CD16,0.223849843527368,0.233722298927257,0.002726095902273866,0.09268726067731144
141Pr_CD70,0.0,0.0,0.002844777481355171,0.09672243436607582
176Yb_CD56,0.363111843425797,0.377565172617524,0.007074454084146815,0.2405314388609917
146Nd_IgD,1.15749268931806,1.13061551155241,0.4134273352707345,1.0
159Tb_CD22,2.52536612862056,2.47160933820685,0.04890287909812732,1.0
143Nd_CD123,0.346781574871309,0.342096269339678,0.334813608837481,1.0
165Ho_CD40,1.59273297815852,1.56873041629446,0.27601311809716356,1.0
